1,1,5,0,2
2,1,3,0,8
3,1,6,1,6
4,1,22,1,7
5,3,4,0,1
6,2,18,1,8
7,3,9,1,6
8,1,26,1,5
9,2,30,0,9
10,3,8,0,7
11,2,2,1,3
12,1,16,0,5
13,1,5,0,5
14,2,9,0,5
15,2,8,0,9
16,1,15,1,3
17,2,3,1,1
18,2,30,1,5
19,3,15,1,6
20,3,11,1,2
21,1,14,0,9
22,2,8,1,4
23,3,27,0,5
24,3,17,0,10
25,2,14,1,1
26,2,7,0,2
27,1,29,1,1
28,3,23,1,2
29,2,7,1,7
30,1,26,1,3
31,1,16,0,6
32,3,15,1,2
33,1,18,0,5
34,2,19,1,9
35,2,9,1,6
36,2,26,1,10
37,2,6,1,7
38,3,24,1,5
39,3,19,1,2
40,3,16,0,8
41,2,18,0,2
42,2,1,1,10
43,3,28,0,8
44,1,7,1,4
45,3,11,0,6
46,2,29,0,3
47,3,21,1,9
48,3,12,1,9
49,3,29,0,9
50,3,14,0,4
51,2,28,1,9
52,2,5,0,6
53,3,13,0,6
54,1,29,0,5
55,1,25,0,10
56,1,23,0,4
57,3,12,1,3
58,1,25,1,5
59,3,27,1,8
60,1,18,1,6
61,2,9,1,5
62,1,13,1,9
63,3,24,1,10
64,3,14,0,8
65,3,18,1,2
66,1,2,0,1
67,3,24,1,5
68,3,11,0,6
69,1,29,1,10
70,3,22,0,6
71,3,3,0,3
72,1,18,0,6
73,3,6,1,5
74,3,18,0,4
75,3,28,1,4
76,3,4,1,6
77,2,4,1,1
78,3,3,0,1
79,2,11,0,2
80,3,7,1,3
81,2,30,1,8
82,2,28,1,6
83,2,7,0,9
84,1,26,1,8
85,1,26,1,10
86,3,13,1,8
87,1,28,0,4
88,1,7,1,6
89,3,9,0,9
90,2,3,0,5
91,1,10,0,7
92,3,5,1,6
93,3,18,1,9
94,2,30,1,10
95,2,28,1,5
96,3,18,0,4
97,2,18,1,9
98,3,25,0,1
99,3,11,1,5
100,3,29,1,1

1,1,15,1,8
2,1,26,0,10
3,3,3,1,6
4,2,19,1,7
5,1,3,0,4
6,1,30,1,9
7,2,26,0,10
8,1,3,1,4
9,1,17,0,5
10,3,16,0,7
11,2,30,0,8
12,1,21,1,2
13,3,4,0,9
14,3,16,1,1
15,3,25,0,5
16,3,8,1,8
17,1,5,0,10
18,1,7,1,6
19,3,14,1,3
20,3,30,1,7
21,1,28,0,2
22,3,2,1,6
23,3,12,1,1
24,1,19,1,2
25,1,11,1,2
26,1,21,1,6
27,2,26,1,4
28,2,19,0,8
29,1,22,0,9
30,3,18,0,1
31,2,27,0,9
32,2,20,0,4
33,2,25,1,6
34,2,12,0,6
35,3,22,1,9
36,1,7,1,2
37,1,28,1,5
38,2,30,0,7
39,1,17,1,4
40,2,4,1,8
41,2,16,1,8
42,2,19,0,9
43,1,21,1,3
44,3,6,1,4
45,3,4,1,7
46,3,30,1,6
47,3,9,0,8
48,3,3,0,9
49,3,30,0,7
50,2,7,0,6
51,2,29,0,8
52,1,26,1,2
53,2,7,0,4
54,2,11,1,5
55,2,8,0,4
56,2,19,0,2
57,2,3,1,9
58,3,9,1,7
59,2,1,0,9
60,3,8,0,9
61,2,3,0,7
62,2,24,0,4
63,1,29,0,2
64,1,2,0,9
65,3,29,0,10
66,1,30,0,4
67,1,23,1,5
68,1,2,1,4
69,3,7,1,4
70,2,14,1,8
71,3,6,1,9
72,1,25,1,7
73,3,8,1,10
74,1,15,1,5
75,3,23,0,10
76,1,25,0,1
77,1,23,0,10
78,1,25,0,5
79,2,12,0,2
80,1,15,0,5
81,1,3,1,1
82,1,22,0,3
83,3,15,1,8
84,1,19,1,10
85,1,23,1,5
86,2,20,0,1
87,3,17,1,8
88,1,13,0,3
89,2,29,1,1
90,1,4,1,7
91,2,5,0,7
92,1,21,0,8
93,3,8,0,5
94,3,23,0,6
95,2,18,0,6
96,1,16,1,3
97,1,10,0,2
98,3,20,1,10
99,3,28,1,3
100,2,26,1,2

1,1,23,0,1
2,1,26,0,9
3,3,6,0,6
4,3,14,0,1
5,1,29,0,10
6,2,7,1,1
7,2,6,1,1
8,3,25,0,8
9,3,1,0,5
10,2,29,1,4
11,1,10,0,8
12,1,6,1,4
13,2,27,0,5
14,2,27,1,1
15,3,1,1,2
16,1,8,1,2
17,1,22,1,10
18,1,30,1,3
19,3,3,1,2
20,3,5,1,4
21,1,9,1,10
22,3,19,0,10
